algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,10000,0,1,9999,0,0.000005
Coquetel,10000,0,1,9999,0,0.000005
Selecao,10000,0,1,49995000,0,0.013013
Insercao,10000,0,1,9999,19998,0.000004
Shellsort,10000,0,1,94222,188444,0.000070
Mergesort,10000,0,1,64608,198224,0.000082
Heapsort,10000,0,1,122503,181952,0.000327
Quicksort,10000,0,1,158657,293157,0.000239
QuicksortI,10000,0,1,146460,245130,0.000089
Introsort,10000,0,1,123816,36376,0.000041
Countingsort,10000,0,1,0,20000,0.153619
Bucketsort,10000,0,1,10000,40000,0.000221
RadixsortC,10000,0,1,0,180000,0.000277
RadixsortB,10000,0,1,0,450000,0.000722
Bolha,10000,0,2,9999,0,0.000005
Coquetel,10000,0,2,9999,0,0.000005
Selecao,10000,0,2,49995000,0,0.013076
Insercao,10000,0,2,9999,19998,0.000004
Shellsort,10000,0,2,94222,188444,0.000056
Mergesort,10000,0,2,64608,198224,0.000077
Heapsort,10000,0,2,122503,181952,0.000332
Quicksort,10000,0,2,160194,274410,0.000226
QuicksortI,10000,0,2,143264,222468,0.000088
Introsort,10000,0,2,123816,36376,0.000041
Countingsort,10000,0,2,0,20000,0.152614
Bucketsort,10000,0,2,10000,40000,0.000230
RadixsortC,10000,0,2,0,180000,0.000272
RadixsortB,10000,0,2,0,450000,0.000716
Bolha,10000,0,3,9999,0,0.000004
Coquetel,10000,0,3,9999,0,0.000004
Selecao,10000,0,3,49995000,0,0.013324
Insercao,10000,0,3,9999,19998,0.000004
Shellsort,10000,0,3,94222,188444,0.000058
Mergesort,10000,0,3,64608,198224,0.000067
Heapsort,10000,0,3,122503,181952,0.000281
Quicksort,10000,0,3,160194,274410,0.000191
QuicksortI,10000,0,3,143264,222468,0.000072
Introsort,10000,0,3,123816,36376,0.000035
Countingsort,10000,0,3,0,20000,0.156045
Bucketsort,10000,0,3,10000,40000,0.000227
RadixsortC,10000,0,3,0,180000,0.000278
RadixsortB,10000,0,3,0,450000,0.000605
Bolha,10000,1,1,49995000,149985000,0.232828
Coquetel,10000,1,1,49995000,149985000,0.233244
Selecao,10000,1,1,49995000,15000,0.013225
Insercao,10000,1,1,49995000,50014998,0.009537
Shellsort,10000,1,1,134551,234260,0.000103
Mergesort,10000,1,1,69008,267232,0.000097
Heapsort,10000,1,1,119985,166692,0.000348
Quicksort,10000,1,1,144521,258639,0.000265
QuicksortI,10000,1,1,179679,255671,0.000140
Introsort,10000,1,1,128813,51370,0.000043
Countingsort,10000,1,1,0,20000,0.154516
Bucketsort,10000,1,1,10000,40000,0.000229
RadixsortC,10000,1,1,0,180000,0.000279
RadixsortB,10000,1,1,0,450000,0.000639
Bolha,10000,1,2,49995000,149985000,0.233274
Coquetel,10000,1,2,49995000,149985000,0.233082
Selecao,10000,1,2,49995000,15000,0.013028
Insercao,10000,1,2,49995000,50014998,0.009535
Shellsort,10000,1,2,134551,234260,0.000104
Mergesort,10000,1,2,69008,267232,0.000097
Heapsort,10000,1,2,119985,166692,0.000351
Quicksort,10000,1,2,153741,267024,0.000268
QuicksortI,10000,1,2,169071,272612,0.000137
Introsort,10000,1,2,128813,51370,0.000043
Countingsort,10000,1,2,0,20000,0.153515
Bucketsort,10000,1,2,10000,40000,0.000245
RadixsortC,10000,1,2,0,180000,0.000283
RadixsortB,10000,1,2,0,450000,0.000749
Bolha,10000,1,3,49995000,149985000,0.239545
Coquetel,10000,1,3,49995000,149985000,0.238315
Selecao,10000,1,3,49995000,15000,0.013289
Insercao,10000,1,3,49995000,50014998,0.009791
Shellsort,10000,1,3,134551,234260,0.000104
Mergesort,10000,1,3,69008,267232,0.000097
Heapsort,10000,1,3,119985,166692,0.000372
Quicksort,10000,1,3,153718,277620,0.000262
QuicksortI,10000,1,3,175298,237547,0.000155
Introsort,10000,1,3,128813,51370,0.000043
Countingsort,10000,1,3,0,20000,0.154964
Bucketsort,10000,1,3,10000,40000,0.000230
RadixsortC,10000,1,3,0,180000,0.000290
RadixsortB,10000,1,3,0,450000,0.000629
Bolha,10000,2,1,49992372,74791416,0.137015
Coquetel,10000,2,1,37642065,74791416,0.126290
Selecao,10000,2,1,49995000,29970,0.014265
Insercao,10000,2,1,24940460,24950470,0.005067
Shellsort,10000,2,1,191396,290264,0.000648
Mergesort,10000,2,1,120501,259562,0.000529
Heapsort,10000,2,1,121159,174312,0.000487
Quicksort,10000,2,1,169084,304329,0.000425
QuicksortI,10000,2,1,169138,273178,0.000391
Introsort,10000,2,1,186276,117364,0.000361
Countingsort,10000,2,1,0,20000,0.154072
Bucketsort,10000,2,1,10450,40450,0.000381
RadixsortC,10000,2,1,0,180000,0.000283
RadixsortB,10000,2,1,0,450000,0.000598
Bolha,10000,2,2,49994922,75649560,0.137897
Coquetel,10000,2,2,37731372,75649560,0.125760
Selecao,10000,2,2,49995000,29970,0.013937
Insercao,10000,2,2,25226509,25236518,0.004956
Shellsort,10000,2,2,191687,290652,0.000613
Mergesort,10000,2,2,120446,259204,0.000508
Heapsort,10000,2,2,121211,174184,0.000477
Quicksort,10000,2,2,152070,246495,0.000430
QuicksortI,10000,2,2,164575,255719,0.000391
Introsort,10000,2,2,181033,118348,0.000374
Countingsort,10000,2,2,0,20000,0.155042
Bucketsort,10000,2,2,10468,40468,0.000369
RadixsortC,10000,2,2,0,180000,0.000278
RadixsortB,10000,2,2,0,450000,0.000596
Bolha,10000,2,3,49993230,74914029,0.138130
Coquetel,10000,2,3,37567395,74914029,0.124528
Selecao,10000,2,3,49995000,29979,0.013977
Insercao,10000,2,3,24981334,24991341,0.004805
Shellsort,10000,2,3,193644,292637,0.000639
Mergesort,10000,2,3,120456,259572,0.000515
Heapsort,10000,2,3,121157,174111,0.000476
Quicksort,10000,2,3,149558,272868,0.000432
QuicksortI,10000,2,3,162221,211946,0.000378
Introsort,10000,2,3,180907,118771,0.000366
Countingsort,10000,2,3,0,20000,0.153551
Bucketsort,10000,2,3,10447,40447,0.000376
RadixsortC,10000,2,3,0,180000,0.000272
RadixsortB,10000,2,3,0,450000,0.000724
Bolha,15000,0,1,14999,0,0.000006
Coquetel,15000,0,1,14999,0,0.000006
Selecao,15000,0,1,112492500,0,0.028840
Insercao,15000,0,1,14999,29998,0.000006
Shellsort,15000,0,1,149222,298444,0.000095
Mergesort,15000,0,1,102252,310868,0.000124
Heapsort,15000,0,1,192532,280640,0.000443
Quicksort,15000,0,1,256056,468342,0.000338
QuicksortI,15000,0,1,270811,448999,0.000151
Introsort,15000,0,1,183936,51496,0.000062
Countingsort,15000,0,1,0,30000,0.153517
Bucketsort,15000,0,1,15000,60000,0.000329
RadixsortC,15000,0,1,0,270000,0.000420
RadixsortB,15000,0,1,0,675000,0.000904
Bolha,15000,0,2,14999,0,0.000007
Coquetel,15000,0,2,14999,0,0.000007
Selecao,15000,0,2,112492500,0,0.029036
Insercao,15000,0,2,14999,29998,0.000006
Shellsort,15000,0,2,149222,298444,0.000090
Mergesort,15000,0,2,102252,310868,0.000121
Heapsort,15000,0,2,192532,280640,0.000518
Quicksort,15000,0,2,249881,466272,0.000350
QuicksortI,15000,0,2,228897,361369,0.000138
Introsort,15000,0,2,183936,51496,0.000062
Countingsort,15000,0,2,0,30000,0.152688
Bucketsort,15000,0,2,15000,60000,0.000330
RadixsortC,15000,0,2,0,270000,0.000412
RadixsortB,15000,0,2,0,675000,0.000901
Bolha,15000,0,3,14999,0,0.000006
Coquetel,15000,0,3,14999,0,0.000006
Selecao,15000,0,3,112492500,0,0.030171
Insercao,15000,0,3,14999,29998,0.000007
Shellsort,15000,0,3,149222,298444,0.000099
Mergesort,15000,0,3,102252,310868,0.000126
Heapsort,15000,0,3,192532,280640,0.000467
Quicksort,15000,0,3,249881,466272,0.000348
