algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,10000,0,1,9999,0,0.000006
Coquetel,10000,0,1,9999,0,0.000006
Selecao,10000,0,1,49995000,0,0.013171
Insercao,10000,0,1,9999,19998,0.000004
Countingsort,10000,0,1,0,20000,0.152874
Bucketsort,10000,0,1,10000,40000,0.000173
RadixsortC,10000,0,1,0,180000,0.000285
RadixsortB,10000,0,1,0,450000,0.000724
Bolha,10000,0,2,9999,0,0.000006
Coquetel,10000,0,2,9999,0,0.000006
Selecao,10000,0,2,49995000,0,0.012924
Insercao,10000,0,2,9999,19998,0.000004
Countingsort,10000,0,2,0,20000,0.155335
Bucketsort,10000,0,2,10000,40000,0.000144
RadixsortC,10000,0,2,0,180000,0.000226
RadixsortB,10000,0,2,0,450000,0.000504
Bolha,10000,0,3,9999,0,0.000006
Coquetel,10000,0,3,9999,0,0.000006
Selecao,10000,0,3,49995000,0,0.013100
Insercao,10000,0,3,9999,19998,0.000004
Countingsort,10000,0,3,0,20000,0.153771
Bucketsort,10000,0,3,10000,40000,0.000172
RadixsortC,10000,0,3,0,180000,0.000280
RadixsortB,10000,0,3,0,450000,0.000722
Bolha,10000,1,1,49995000,149985000,0.194824
Coquetel,10000,1,1,49995000,149985000,0.194136
Selecao,10000,1,1,49995000,15000,0.013022
Insercao,10000,1,1,49995000,50014998,0.009537
Countingsort,10000,1,1,0,20000,0.154616
Bucketsort,10000,1,1,10000,40000,0.000150
RadixsortC,10000,1,1,0,180000,0.000231
RadixsortB,10000,1,1,0,450000,0.000517
Bolha,10000,1,2,49995000,149985000,0.194914
Coquetel,10000,1,2,49995000,149985000,0.194317
Selecao,10000,1,2,49995000,15000,0.012966
Insercao,10000,1,2,49995000,50014998,0.009574
Countingsort,10000,1,2,0,20000,0.154398
Bucketsort,10000,1,2,10000,40000,0.000150
RadixsortC,10000,1,2,0,180000,0.000228
RadixsortB,10000,1,2,0,450000,0.000521
Bolha,10000,1,3,49995000,149985000,0.194794
Coquetel,10000,1,3,49995000,149985000,0.194076
Selecao,10000,1,3,49995000,15000,0.012995
Insercao,10000,1,3,49995000,50014998,0.009533
Countingsort,10000,1,3,0,20000,0.153605
Bucketsort,10000,1,3,10000,40000,0.000157
RadixsortC,10000,1,3,0,180000,0.000230
RadixsortB,10000,1,3,0,450000,0.000625
Bolha,10000,2,1,49965110,75496077,0.112898
Coquetel,10000,2,1,37422395,75496077,0.104362
Selecao,10000,2,1,49995000,29979,0.013611
Insercao,10000,2,1,25175347,25185357,0.004833
Countingsort,10000,2,1,0,20000,0.152908
Bucketsort,10000,2,1,10444,40444,0.000310
RadixsortC,10000,2,1,0,180000,0.000232
RadixsortB,10000,2,1,0,450000,0.000593
Bolha,10000,2,2,49991760,75024837,0.135115
Coquetel,10000,2,2,37557422,75024837,0.124884
Selecao,10000,2,2,49995000,29973,0.013614
Insercao,10000,2,2,25018269,25028277,0.004856
Countingsort,10000,2,2,0,20000,0.154939
Bucketsort,10000,2,2,10494,40494,0.000372
RadixsortC,10000,2,2,0,180000,0.000272
RadixsortB,10000,2,2,0,450000,0.000592
Bolha,10000,2,3,49970469,75255744,0.114009
Coquetel,10000,2,3,37612224,75255744,0.104314
Selecao,10000,2,3,49995000,29970,0.013635
Insercao,10000,2,3,25095235,25105246,0.004824
Countingsort,10000,2,3,0,20000,0.153955
Bucketsort,10000,2,3,10470,40470,0.000315
RadixsortC,10000,2,3,0,180000,0.000236
RadixsortB,10000,2,3,0,450000,0.000498
Bolha,20000,0,1,19999,0,0.000008
Coquetel,20000,0,1,19999,0,0.000008
Selecao,20000,0,1,199990000,0,0.051568
Insercao,20000,0,1,19999,39998,0.000008
Countingsort,20000,0,1,0,40000,0.152307
Bucketsort,20000,0,1,20000,80000,0.000293
RadixsortC,20000,0,1,0,360000,0.000467
RadixsortB,20000,0,1,0,900000,0.001226
Bolha,20000,0,2,19999,0,0.000008
Coquetel,20000,0,2,19999,0,0.000008
Selecao,20000,0,2,199990000,0,0.050771
Insercao,20000,0,2,19999,39998,0.000008
Countingsort,20000,0,2,0,40000,0.150922
Bucketsort,20000,0,2,20000,80000,0.000293
RadixsortC,20000,0,2,0,360000,0.000462
RadixsortB,20000,0,2,0,900000,0.001225
Bolha,20000,0,3,19999,0,0.000008
Coquetel,20000,0,3,19999,0,0.000009
Selecao,20000,0,3,199990000,0,0.051976
Insercao,20000,0,3,19999,39998,0.000008
Countingsort,20000,0,3,0,40000,0.151022
Bucketsort,20000,0,3,20000,80000,0.000301
RadixsortC,20000,0,3,0,360000,0.000470
RadixsortB,20000,0,3,0,900000,0.001231
Bolha,20000,1,1,199990000,599970000,0.935105
Coquetel,20000,1,1,199990000,599970000,0.932802
Selecao,20000,1,1,199990000,30000,0.052752
Insercao,20000,1,1,199990000,200029998,0.038167
Countingsort,20000,1,1,0,40000,0.151580
Bucketsort,20000,1,1,20000,80000,0.000411
RadixsortC,20000,1,1,0,360000,0.000560
RadixsortB,20000,1,1,0,900000,0.001227
Bolha,20000,1,2,199990000,599970000,0.937111
Coquetel,20000,1,2,199990000,599970000,0.932700
Selecao,20000,1,2,199990000,30000,0.052289
Insercao,20000,1,2,199990000,200029998,0.038123
Countingsort,20000,1,2,0,40000,0.152688
Bucketsort,20000,1,2,20000,80000,0.000413
RadixsortC,20000,1,2,0,360000,0.000549
RadixsortB,20000,1,2,0,900000,0.001245
Bolha,20000,1,3,199990000,599970000,0.777820
Coquetel,20000,1,3,199990000,599970000,0.776659
Selecao,20000,1,3,199990000,30000,0.051420
Insercao,20000,1,3,199990000,200029998,0.038048
Countingsort,20000,1,3,0,40000,0.151791
Bucketsort,20000,1,3,20000,80000,0.000348
RadixsortC,20000,1,3,0,360000,0.000471
RadixsortB,20000,1,3,0,900000,0.001070
Bolha,20000,2,1,199977910,300233403,0.570442
Coquetel,20000,2,1,149814847,300233403,0.488256
Selecao,20000,2,1,199990000,59961,0.053551
Insercao,20000,2,1,100097790,100117799,0.019152
Countingsort,20000,2,1,0,40000,0.151086
Bucketsort,20000,2,1,20956,80956,0.000662
RadixsortC,20000,2,1,0,360000,0.000464
RadixsortB,20000,2,1,0,900000,0.001037
Bolha,20000,2,2,199939597,300356790,0.570593
Coquetel,20000,2,2,150304504,300356790,0.490854
Selecao,20000,2,2,199990000,59967,0.052949
Insercao,20000,2,2,100138918,100158928,0.019130
Countingsort,20000,2,2,0,40000,0.150882
Bucketsort,20000,2,2,20897,80897,0.000659
RadixsortC,20000,2,2,0,360000,0.000459
RadixsortB,20000,2,2,0,900000,0.001009
Bolha,20000,2,3,199969699,300246963,0.576584
Coquetel,20000,2,3,149964997,300246963,0.479124
Selecao,20000,2,3,199990000,59979,0.054371
Insercao,20000,2,3,100102310,100122319,0.019120
Countingsort,20000,2,3,0,40000,0.150395
Bucketsort,20000,2,3,20914,80914,0.000659
RadixsortC,20000,2,3,0,360000,0.000461
RadixsortB,20000,2,3,0,900000,0.001009
Bolha,30000,0,1,29999,0,0.000012
Coquetel,30000,0,1,29999,0,0.000012
Selecao,30000,0,1,449985000,0,0.115641
Insercao,30000,0,1,29999,59998,0.000012
Countingsort,30000,0,1,0,60000,0.148502
Bucketsort,30000,0,1,30000,120000,0.000570
RadixsortC,30000,0,1,0,540000,0.000695
RadixsortB,30000,0,1,0,1350000,0.001533
Bolha,30000,0,2,29999,0,0.000018
Coquetel,30000,0,2,29999,0,0.000018
Selecao,30000,0,2,449985000,0,0.118155
Insercao,30000,0,2,29999,59998,0.000013
Countingsort,30000,0,2,0,60000,0.148867
Bucketsort,30000,0,2,30000,120000,0.000687
RadixsortC,30000,0,2,0,540000,0.000827
RadixsortB,30000,0,2,0,1350000,0.001688
Bolha,30000,0,3,29999,0,0.000015
Coquetel,30000,0,3,29999,0,0.000014
Selecao,30000,0,3,449985000,0,0.116646
Insercao,30000,0,3,29999,59998,0.000012
Countingsort,30000,0,3,0,60000,0.147518
Bucketsort,30000,0,3,30000,120000,0.000581
RadixsortC,30000,0,3,0,540000,0.000690
RadixsortB,30000,0,3,0,1350000,0.001830
Bolha,30000,1,1,449985000,1349955000,1.773720
Coquetel,30000,1,1,449985000,1349955000,1.748445
Selecao,30000,1,1,449985000,45000,0.116178
Insercao,30000,1,1,449985000,450044998,0.085505
Countingsort,30000,1,1,0,60000,0.149646
Bucketsort,30000,1,1,30000,120000,0.000657
RadixsortC,30000,1,1,0,540000,0.000694
RadixsortB,30000,1,1,0,1350000,0.001632
Bolha,30000,1,2,449985000,1349955000,1.748627
Coquetel,30000,1,2,449985000,1349955000,1.747627
Selecao,30000,1,2,449985000,45000,0.116026
Insercao,30000,1,2,449985000,450044998,0.085486
Countingsort,30000,1,2,0,60000,0.150074
Bucketsort,30000,1,2,30000,120000,0.000665
RadixsortC,30000,1,2,0,540000,0.000687
RadixsortB,30000,1,2,0,1350000,0.001632
Bolha,30000,1,3,449985000,1349955000,1.748664
Coquetel,30000,1,3,449985000,1349955000,1.748538
Selecao,30000,1,3,449985000,45000,0.115650
Insercao,30000,1,3,449985000,450044998,0.085505
Countingsort,30000,1,3,0,60000,0.149644
Bucketsort,30000,1,3,30000,120000,0.000656
RadixsortC,30000,1,3,0,540000,0.000694
RadixsortB,30000,1,3,0,1350000,0.001654
Bolha,30000,2,1,449939549,673315245,1.353156
Coquetel,30000,2,1,336891720,673315245,1.185513
Selecao,30000,2,1,449985000,89949,0.118913
Insercao,30000,2,1,224468403,224498413,0.042812
Countingsort,30000,2,1,0,60000,0.148726
Bucketsort,30000,2,1,31474,121474,0.001017
RadixsortC,30000,2,1,0,540000,0.000688
RadixsortB,30000,2,1,0,1350000,0.001514
Bolha,30000,2,2,449979329,675825999,1.645401
Coquetel,30000,2,2,337822247,675825999,1.428183
Selecao,30000,2,2,449985000,89967,0.123386
