algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Insercao,1,2,1,0,0,0.000000
Quicksort,1,2,1,0,0,0.000000
Insercao,1,2,2,0,0,0.000000
Quicksort,1,2,2,0,0,0.000000
Insercao,1,2,3,0,0,0.000000
Quicksort,1,2,3,0,0,0.000000
Insercao,1,2,4,0,0,0.000000
Quicksort,1,2,4,0,0,0.000000
Insercao,1,2,5,0,0,0.000000
Quicksort,1,2,5,0,0,0.000000
Insercao,1,2,6,0,0,0.000000
Quicksort,1,2,6,0,0,0.000000
Insercao,1,2,7,0,0,0.000000
Quicksort,1,2,7,0,0,0.000000
Insercao,1,2,8,0,0,0.000000
Quicksort,1,2,8,0,0,0.000000
Insercao,1,2,9,0,0,0.000000
Quicksort,1,2,9,0,0,0.000000
Insercao,1,2,10,0,0,0.000000
Quicksort,1,2,10,0,0,0.000000
Insercao,2,2,1,1,2,0.000000
Quicksort,2,2,1,1,9,0.000000
Insercao,2,2,2,1,2,0.000000
Quicksort,2,2,2,1,9,0.000000
Insercao,2,2,3,1,2,0.000000
Quicksort,2,2,3,1,9,0.000000
Insercao,2,2,4,1,2,0.000000
Quicksort,2,2,4,1,9,0.000000
Insercao,2,2,5,1,2,0.000000
Quicksort,2,2,5,1,9,0.000000
Insercao,2,2,6,1,2,0.000000
Quicksort,2,2,6,1,9,0.000000
Insercao,2,2,7,1,2,0.000000
Quicksort,2,2,7,1,9,0.000000
Insercao,2,2,8,1,2,0.000000
Quicksort,2,2,8,1,9,0.000000
Insercao,2,2,9,1,2,0.000000
Quicksort,2,2,9,1,9,0.000000
Insercao,2,2,10,1,2,0.000000
Quicksort,2,2,10,1,9,0.000000
Insercao,3,2,1,2,4,0.000000
Quicksort,3,2,1,2,9,0.000000
Insercao,3,2,2,2,4,0.000000
Quicksort,3,2,2,2,9,0.000000
Insercao,3,2,3,2,4,0.000000
Quicksort,3,2,3,2,9,0.000000
Insercao,3,2,4,2,4,0.000000
Quicksort,3,2,4,2,9,0.000000
Insercao,3,2,5,2,4,0.000000
Quicksort,3,2,5,2,9,0.000000
Insercao,3,2,6,2,4,0.000000
Quicksort,3,2,6,2,9,0.000000
Insercao,3,2,7,2,4,0.000000
Quicksort,3,2,7,2,9,0.000000
Insercao,3,2,8,2,4,0.000000
Quicksort,3,2,8,2,9,0.000000
Insercao,3,2,9,2,4,0.000000
Quicksort,3,2,9,2,9,0.000000
Insercao,3,2,10,2,4,0.000000
Quicksort,3,2,10,2,9,0.000000
Insercao,4,2,1,3,6,0.000000
Quicksort,4,2,1,6,18,0.000000
Insercao,4,2,2,3,6,0.000000
Quicksort,4,2,2,6,18,0.000000
Insercao,4,2,3,3,6,0.000000
Quicksort,4,2,3,6,18,0.000000
Insercao,4,2,4,3,6,0.000000
Quicksort,4,2,4,6,18,0.000000
Insercao,4,2,5,3,6,0.000000
Quicksort,4,2,5,6,18,0.000000
Insercao,4,2,6,3,6,0.000000
Quicksort,4,2,6,6,18,0.000000
Insercao,4,2,7,3,6,0.000000
Quicksort,4,2,7,6,18,0.000000
Insercao,4,2,8,3,6,0.000000
Quicksort,4,2,8,6,18,0.000000
Insercao,4,2,9,3,6,0.000000
Quicksort,4,2,9,6,18,0.000000
Insercao,4,2,10,3,6,0.000000
Quicksort,4,2,10,6,18,0.000000
Insercao,5,2,1,5,9,0.000000
Quicksort,5,2,1,10,39,0.000000
Insercao,5,2,2,5,9,0.000000
Quicksort,5,2,2,10,39,0.000000
Insercao,5,2,3,5,9,0.000000
Quicksort,5,2,3,10,39,0.000000
Insercao,5,2,4,5,9,0.000000
Quicksort,5,2,4,10,39,0.000000
Insercao,5,2,5,5,9,0.000000
